experiment_id,candidate_id,measurement,family,acrylic,tackifier,resin_modified,voi,c_decision_relevance,c_extrapolation_risk,c_hypothesis_discrimination,c_measurement_interpretability,c_process_state_risk,c_uncertainty_reduction,discrimination,admissible_cbes,tied_top
S1C28::M-SWEEP,S1C28,M-SWEEP,dual_axis_resin_modified,7.5,10.0,True,0.12625,0.28,0.4625,0.0,0.7,0.75,0.35,0.0,True,False
S1C15::M-ANCHOR,S1C15,M-ANCHOR,dual_axis_resin_modified,2.5,2.5,True,0.123333,0.21,0.616667,0.0,0.7,0.75,0.5,0.0,False,False
S1C20::M-SWEEP,S1C20,M-SWEEP,dual_axis_resin_modified,5.0,2.5,True,0.12125,0.28,0.5125,0.0,0.7,0.75,0.35,0.0,True,False
S1C14::M-SWEEP,S1C14,M-SWEEP,acrylic_only,2.5,0.0,True,0.120417,0.28,0.520833,0.0,0.7,0.75,0.35,0.0,True,False
S1C16::M-SWEEP,S1C16,M-SWEEP,dual_axis_resin_modified,2.5,5.0,True,0.120417,0.28,0.520833,0.0,0.7,0.75,0.35,0.0,True,False
S1C18::M-ANCHOR,S1C18,M-ANCHOR,dual_axis_resin_modified,2.5,10.0,True,0.117917,0.21,0.670833,0.0,0.7,0.75,0.5,0.0,False,False
S1C17::M-SWEEP,S1C17,M-SWEEP,dual_axis_resin_modified,2.5,7.5,True,0.115833,0.28,0.566667,0.0,0.7,0.75,0.35,0.0,True,False
S1C23::M-SWEEP,S1C23,M-SWEEP,dual_axis_resin_modified,5.0,10.0,True,0.115833,0.28,0.566667,0.0,0.7,0.75,0.35,0.0,True,False
S1C15::M-SWEEP,S1C15,M-SWEEP,dual_axis_resin_modified,2.5,2.5,True,0.110833,0.28,0.616667,0.0,0.7,0.75,0.35,0.0,True,False
S1C01::M-ANCHOR,S1C01,M-ANCHOR,reactive_core_only,0.0,0.0,False,0.1075,0.12,0.0,0.0,0.7,0.75,0.225,0.0,True,False
S1C02::M-ANCHOR,S1C02,M-ANCHOR,reactive_core_only,0.0,0.0,False,0.1075,0.12,0.0,0.0,0.7,0.75,0.225,0.0,True,False
S1C03::M-ANCHOR,S1C03,M-ANCHOR,reactive_core_only,0.0,0.0,False,0.1075,0.12,0.0,0.0,0.7,0.75,0.225,0.0,True,False
S1C04::M-ANCHOR,S1C04,M-ANCHOR,reactive_core_only,0.0,0.0,False,0.1075,0.12,0.0,0.0,0.7,0.75,0.225,0.0,True,False
S1C05::M-ANCHOR,S1C05,M-ANCHOR,reactive_core_only,0.0,0.0,False,0.1075,0.12,0.0,0.0,0.7,0.75,0.225,0.0,True,False
S1C06::M-ANCHOR,S1C06,M-ANCHOR,reactive_core_only,0.0,0.0,False,0.1075,0.12,0.0,0.0,0.7,0.75,0.225,0.0,True,False
S1C07::M-ANCHOR,S1C07,M-ANCHOR,reactive_core_only,0.0,0.0,False,0.1075,0.12,0.0,0.0,0.7,0.75,0.225,0.0,True,False
S1C08::M-ANCHOR,S1C08,M-ANCHOR,reactive_core_only,0.0,0.0,False,0.1075,0.12,0.0,0.0,0.7,0.75,0.225,0.0,True,False
S1C09::M-ANCHOR,S1C09,M-ANCHOR,reactive_core_only,0.0,0.0,False,0.1075,0.12,0.0,0.0,0.7,0.75,0.225,0.0,True,False
S1C18::M-SWEEP,S1C18,M-SWEEP,dual_axis_resin_modified,2.5,10.0,True,0.105417,0.28,0.670833,0.0,0.7,0.75,0.35,0.0,True,False
S1C01::M-SWEEP,S1C01,M-SWEEP,reactive_core_only,0.0,0.0,False,0.104,0.16,0.0,0.0,0.7,0.75,0.1575,0.0,True,False
S1C02::M-SWEEP,S1C02,M-SWEEP,reactive_core_only,0.0,0.0,False,0.104,0.16,0.0,0.0,0.7,0.75,0.1575,0.0,True,False
S1C03::M-SWEEP,S1C03,M-SWEEP,reactive_core_only,0.0,0.0,False,0.104,0.16,0.0,0.0,0.7,0.75,0.1575,0.0,True,False
S1C04::M-SWEEP,S1C04,M-SWEEP,reactive_core_only,0.0,0.0,False,0.104,0.16,0.0,0.0,0.7,0.75,0.1575,0.0,True,False
S1C05::M-SWEEP,S1C05,M-SWEEP,reactive_core_only,0.0,0.0,False,0.104,0.16,0.0,0.0,0.7,0.75,0.1575,0.0,True,False
S1C06::M-SWEEP,S1C06,M-SWEEP,reactive_core_only,0.0,0.0,False,0.104,0.16,0.0,0.0,0.7,0.75,0.1575,0.0,True,False
S1C07::M-SWEEP,S1C07,M-SWEEP,reactive_core_only,0.0,0.0,False,0.104,0.16,0.0,0.0,0.7,0.75,0.1575,0.0,True,False
S1C08::M-SWEEP,S1C08,M-SWEEP,reactive_core_only,0.0,0.0,False,0.104,0.16,0.0,0.0,0.7,0.75,0.1575,0.0,True,False
S1C09::M-SWEEP,S1C09,M-SWEEP,reactive_core_only,0.0,0.0,False,0.104,0.16,0.0,0.0,0.7,0.75,0.1575,0.0,True,False
